month,type,customers
2016-09,One-time,4
2016-09,Repeat,0
2016-10,One-time,309
2016-10,Repeat,12
2016-11,One-time,0
2016-11,Repeat,0
2016-12,One-time,0
2016-12,Repeat,1
2017-01,One-time,706
2017-01,Repeat,59
2017-02,One-time,1679
2017-02,Repeat,76
2017-03,One-time,2506
2017-03,Repeat,136
2017-04,One-time,2244
2017-04,Repeat,128
2017-05,One-time,3398
2017-05,Repeat,227
2017-06,One-time,2966
2017-06,Repeat,214
2017-07,One-time,3708
2017-07,Repeat,239
2017-08,One-time,3987
2017-08,Repeat,259
2017-09,One-time,3940
2017-09,Repeat,272
2017-10,One-time,4300
2017-10,Repeat,261
2017-11,One-time,7069
2017-11,Repeat,361
2017-12,One-time,5333
2017-12,Repeat,270
2018-01,One-time,6807
2018-01,Repeat,359
2018-02,One-time,6207
2018-02,Repeat,362
2018-03,One-time,6791
2018-03,Repeat,324
2018-04,One-time,6578
2018-04,Repeat,304
2018-05,One-time,6507
2018-05,Repeat,307
2018-06,One-time,5867
2018-06,Repeat,261
2018-07,One-time,5967
2018-07,Repeat,263
2018-08,One-time,6220
2018-08,Repeat,240
2018-09,One-time,5
2018-09,Repeat,9
2018-10,One-time,1
2018-10,Repeat,3
