category,reviewed_orders,avg_review_score,bad_reviews,five_star_reviews
books_general_interest,492,4.51,36,394
books_technical,255,4.39,27,188
food_drink,221,4.37,18,178
luggage_accessories,1015,4.35,93,704
fashion_shoes,231,4.29,28,166
food,437,4.26,57,312
stationery,2251,4.24,287,1539
small_appliances,604,4.23,80,407
home_appliances,744,4.23,84,479
pet_shop,1680,4.22,231,1195
perfumery,3076,4.22,439,2158
musical_instruments,605,4.22,77,397
computers,174,4.22,23,121
toys,3774,4.21,488,2507
health_beauty,8601,4.19,1178,5844
fashion_bags_accessories,1811,4.19,227,1182
cool_stuff,3531,4.19,439,2226
sports_leisure,7486,4.17,1098,5100
home_appliances_2,226,4.16,28,129
consoles_games,1009,4.14,131,624
industry_commerce_and_business,230,4.13,34,150
drinks,287,4.13,45,206
costruction_tools_garden,190,4.12,36,142
auto,3792,4.12,572,2368
housewares,5709,4.11,964,3968
signaling_and_security,137,4.09,23,112
construction_tools_lights,239,4.09,40,159
construction_tools_construction,731,4.09,128,526
agro_industry_and_commerce,177,4.09,28,108
garden_tools,3428,4.08,640,2471
baby,2787,4.08,442,1718
art,193,4.08,28,111
watches_gifts,5454,4.07,863,3328
market_place,272,4.07,39,160
electronics,2498,4.07,402,1503
christmas_supplies,123,4.07,19,76
fashion_underwear_beach,116,4.05,20,67
air_conditioning,242,4.05,44,163
kitchen_dining_laundry_garden_furniture,239,4.03,37,145
telephony,4069,4.0,684,2308
computers_accessories,6499,3.98,1312,4187
construction_tools_safety,158,3.97,32,100
home_construction,481,3.96,103,298
furniture_decor,6260,3.95,1484,4437
furniture_living_room,409,3.94,85,255
Unknown,1382,3.94,298,840
bed_bath_table,9177,3.92,2011,5769
home_confort,390,3.85,85,230
audio,345,3.83,78,189
fixed_telephony,209,3.76,58,120
fashion_male_clothing,105,3.76,31,67
office_furniture,1244,3.52,423,619
