month,reviewed_orders,bad_reviews,five_star_reviews,avg_review_score
2016-09,4,4,0,1.0
2016-10,319,93,155,3.57
2016-11,0,0,0,
2016-12,1,0,1,5.0
2017-01,790,123,465,4.07
2017-02,1768,286,995,4.02
2017-03,2661,381,1510,4.07
2017-04,2387,370,1325,4.04
2017-05,3666,471,2160,4.14
2017-06,3218,413,1911,4.15
2017-07,3990,499,2396,4.17
2017-08,4298,496,2689,4.24
2017-09,4251,531,2582,4.19
2017-10,4593,611,2678,4.12
2017-11,7480,1413,3984,3.91
2017-12,5612,921,3130,4.02
2018-01,7201,1126,4097,4.04
2018-02,6672,1406,3440,3.83
2018-03,7148,1639,3527,3.75
2018-04,6883,895,4097,4.16
2018-05,6839,817,4155,4.19
2018-06,6141,662,3930,4.28
2018-07,6247,694,4018,4.26
2018-08,6485,709,4081,4.26
2018-09,15,12,1,1.8
2018-10,4,3,1,2.25
