category,avg_price,items_sold
computers,1098.34,203
home_appliances_2,476.12,238
agro_industry_and_commerce,342.12,212
musical_instruments,281.62,680
small_appliances,280.78,679
fixed_telephony,225.69,264
construction_tools_safety,208.99,194
watches_gifts,201.14,5991
air_conditioning,185.27,297
furniture_bedroom,183.75,109
cool_stuff,167.36,3796
kitchen_dining_laundry_garden_furniture,164.87,281
office_furniture,162.01,1691
construction_tools_construction,155.73,929
costruction_tools_tools,154.41,103
industry_commerce_and_business,148.02,268
auto,139.96,4235
audio,139.25,364
consoles_games,138.49,1137
home_construction,137.56,604
furniture_living_room,137.01,503
construction_tools_lights,135.13,304
home_confort,134.96,434
baby,134.34,3065
health_beauty,130.16,9670
luggage_accessories,128.6,1092
toys,117.55,4117
perfumery,116.74,3419
computers_accessories,116.51,7827
art,115.8,209
sports_leisure,114.34,8641
Unknown,112.0,1603
garden_tools,111.63,4347
pet_shop,110.07,1947
signaling_and_security,108.09,199
costruction_tools_garden,108.05,238
home_appliances,103.98,771
bed_bath_table,93.3,11115
stationery,91.75,2517
market_place,91.25,311
housewares,90.79,6964
fashion_shoes,89.93,262
furniture_decor,87.56,8334
books_general_interest,84.73,553
fashion_male_clothing,81.8,132
fashion_bags_accessories,75.25,2031
fashion_underwear_beach,72.84,131
books_technical,71.52,267
telephony,71.21,4545
drinks,59.18,379
electronics,57.91,2767
food,57.63,510
christmas_supplies,57.52,153
food_drink,54.6,278
