month,category,revenue
2016-09,Unknown,
2016-09,agro_industry_and_commerce,
2016-09,air_conditioning,
2016-09,art,
2016-09,arts_and_craftmanship,
2016-09,audio,
2016-09,auto,
2016-09,baby,
2016-09,bed_bath_table,
2016-09,books_general_interest,
2016-09,books_imported,
2016-09,books_technical,
2016-09,cds_dvds_musicals,
2016-09,christmas_supplies,
2016-09,cine_photo,
2016-09,computers,
2016-09,computers_accessories,
2016-09,consoles_games,
2016-09,construction_tools_construction,
2016-09,construction_tools_lights,
2016-09,construction_tools_safety,
2016-09,cool_stuff,
2016-09,costruction_tools_garden,
2016-09,costruction_tools_tools,
2016-09,diapers_and_hygiene,
2016-09,drinks,
2016-09,dvds_blu_ray,
2016-09,electronics,
2016-09,fashio_female_clothing,
2016-09,fashion_bags_accessories,
2016-09,fashion_childrens_clothes,
2016-09,fashion_male_clothing,
2016-09,fashion_shoes,
2016-09,fashion_sport,
2016-09,fashion_underwear_beach,
2016-09,fixed_telephony,
2016-09,flowers,
2016-09,food,
2016-09,food_drink,
2016-09,furniture_bedroom,
2016-09,furniture_decor,72.89
2016-09,furniture_living_room,
2016-09,furniture_mattress_and_upholstery,
2016-09,garden_tools,
2016-09,health_beauty,134.97
2016-09,home_appliances,
2016-09,home_appliances_2,
2016-09,home_comfort_2,
2016-09,home_confort,
2016-09,home_construction,
2016-09,housewares,
2016-09,industry_commerce_and_business,
2016-09,kitchen_dining_laundry_garden_furniture,
2016-09,la_cuisine,
2016-09,luggage_accessories,
2016-09,market_place,
2016-09,music,
2016-09,musical_instruments,
2016-09,office_furniture,
2016-09,party_supplies,
2016-09,pc_gamer,
2016-09,perfumery,
2016-09,pet_shop,
2016-09,portateis_cozinha_e_preparadores_de_alimentos,
2016-09,security_and_services,
2016-09,signaling_and_security,
2016-09,small_appliances,
2016-09,small_appliances_home_oven_and_coffee,
2016-09,sports_leisure,
2016-09,stationery,
2016-09,tablets_printing_image,
2016-09,telephony,59.5
2016-09,toys,
2016-09,watches_gifts,
2016-10,Unknown,65.89
2016-10,agro_industry_and_commerce,
2016-10,air_conditioning,1707.09
2016-10,art,
2016-10,arts_and_craftmanship,
2016-10,audio,156.99
2016-10,auto,1833.25
2016-10,baby,1630.16
2016-10,bed_bath_table,478.99
2016-10,books_general_interest,119.5
2016-10,books_imported,
2016-10,books_technical,267.0
2016-10,cds_dvds_musicals,
2016-10,christmas_supplies,
2016-10,cine_photo,
2016-10,computers,
2016-10,computers_accessories,1399.32
2016-10,consoles_games,3882.26
2016-10,construction_tools_construction,
2016-10,construction_tools_lights,
2016-10,construction_tools_safety,
2016-10,cool_stuff,1111.0
2016-10,costruction_tools_garden,
2016-10,costruction_tools_tools,
2016-10,diapers_and_hygiene,134.9
2016-10,drinks,
2016-10,dvds_blu_ray,
2016-10,electronics,1306.99
2016-10,fashio_female_clothing,54.9
2016-10,fashion_bags_accessories,508.3
2016-10,fashion_childrens_clothes,
2016-10,fashion_male_clothing,24.9
2016-10,fashion_shoes,29.99
2016-10,fashion_sport,
2016-10,fashion_underwear_beach,
2016-10,fixed_telephony,704.88
2016-10,flowers,
2016-10,food,79.9
2016-10,food_drink,
2016-10,furniture_bedroom,
2016-10,furniture_decor,5807.89
2016-10,furniture_living_room,
2016-10,furniture_mattress_and_upholstery,
2016-10,garden_tools,1359.88
2016-10,health_beauty,4552.51
2016-10,home_appliances,
2016-10,home_appliances_2,
2016-10,home_comfort_2,
2016-10,home_confort,
2016-10,home_construction,
2016-10,housewares,1287.07
2016-10,industry_commerce_and_business,359.6
2016-10,kitchen_dining_laundry_garden_furniture,
2016-10,la_cuisine,
2016-10,luggage_accessories,
2016-10,market_place,1306.19
2016-10,music,
2016-10,musical_instruments,
2016-10,office_furniture,1300.88
2016-10,party_supplies,
2016-10,pc_gamer,
2016-10,perfumery,5688.7
2016-10,pet_shop,689.68
2016-10,portateis_cozinha_e_preparadores_de_alimentos,
2016-10,security_and_services,
2016-10,signaling_and_security,
2016-10,small_appliances,
2016-10,small_appliances_home_oven_and_coffee,
2016-10,sports_leisure,3333.64
2016-10,stationery,
2016-10,tablets_printing_image,
2016-10,telephony,500.08
2016-10,toys,4465.09
2016-10,watches_gifts,3360.24
2016-11,Unknown,
2016-11,agro_industry_and_commerce,
2016-11,air_conditioning,
2016-11,art,
2016-11,arts_and_craftmanship,
2016-11,audio,
2016-11,auto,
2016-11,baby,
2016-11,bed_bath_table,
2016-11,books_general_interest,
2016-11,books_imported,
2016-11,books_technical,
2016-11,cds_dvds_musicals,
2016-11,christmas_supplies,
2016-11,cine_photo,
2016-11,computers,
2016-11,computers_accessories,
2016-11,consoles_games,
2016-11,construction_tools_construction,
2016-11,construction_tools_lights,
2016-11,construction_tools_safety,
2016-11,cool_stuff,
2016-11,costruction_tools_garden,
2016-11,costruction_tools_tools,
2016-11,diapers_and_hygiene,
2016-11,drinks,
2016-11,dvds_blu_ray,
2016-11,electronics,
2016-11,fashio_female_clothing,
2016-11,fashion_bags_accessories,
2016-11,fashion_childrens_clothes,
2016-11,fashion_male_clothing,
2016-11,fashion_shoes,
2016-11,fashion_sport,
2016-11,fashion_underwear_beach,
2016-11,fixed_telephony,
2016-11,flowers,
2016-11,food,
2016-11,food_drink,
2016-11,furniture_bedroom,
2016-11,furniture_decor,
2016-11,furniture_living_room,
2016-11,furniture_mattress_and_upholstery,
2016-11,garden_tools,
2016-11,health_beauty,
2016-11,home_appliances,
2016-11,home_appliances_2,
2016-11,home_comfort_2,
2016-11,home_confort,
2016-11,home_construction,
2016-11,housewares,
2016-11,industry_commerce_and_business,
2016-11,kitchen_dining_laundry_garden_furniture,
2016-11,la_cuisine,
2016-11,luggage_accessories,
2016-11,market_place,
2016-11,music,
2016-11,musical_instruments,
2016-11,office_furniture,
2016-11,party_supplies,
2016-11,pc_gamer,
2016-11,perfumery,
2016-11,pet_shop,
2016-11,portateis_cozinha_e_preparadores_de_alimentos,
2016-11,security_and_services,
2016-11,signaling_and_security,
2016-11,small_appliances,
2016-11,small_appliances_home_oven_and_coffee,
2016-11,sports_leisure,
2016-11,stationery,
2016-11,tablets_printing_image,
2016-11,telephony,
2016-11,toys,
2016-11,watches_gifts,
2016-12,Unknown,
2016-12,agro_industry_and_commerce,
2016-12,air_conditioning,
2016-12,art,
