category,top10_revenue,other90_revenue,pct_revenue_from_top10
computers,222928.63,34.5,99.98
small_appliances_home_oven_and_coffee,44672.58,2773.13,94.16
portateis_cozinha_e_preparadores_de_alimentos,3574.8,393.73,90.08
agro_industry_and_commerce,65251.65,7278.82,89.96
home_appliances_2,95156.48,18161.26,83.97
fixed_telephony,46208.24,13374.76,77.55
small_appliances,146872.53,43776.05,77.04
musical_instruments,146120.49,45378.39,76.3
dvds_blu_ray,4097.0,1902.39,68.29
construction_tools_safety,27580.87,12963.65,68.03
kitchen_dining_laundry_garden_furniture,28375.49,17952.88,61.25
construction_tools_construction,87262.06,57415.53,60.31
consoles_games,93746.17,63719.05,59.53
music,3544.47,2489.88,58.74
air_conditioning,31874.62,23150.34,57.93
costruction_tools_garden,14044.84,11671.05,54.62
costruction_tools_tools,8401.4,7502.55,52.83
watches_gifts,629309.54,575696.14,52.22
signaling_and_security,10905.49,10603.74,50.7
auto,289228.72,303491.39,48.8
home_construction,40411.33,42676.79,48.64
audio,24483.29,26205.21,48.3
health_beauty,604079.41,654466.96,48.0
furniture_living_room,32613.96,36302.6,47.32
office_furniture,125829.57,148131.13,45.93
furniture_bedroom,8904.76,11124.02,44.46
garden_tools,213452.25,271804.21,43.99
industry_commerce_and_business,17143.48,22526.13,43.22
baby,176210.37,235554.52,42.79
la_cuisine,862.0,1192.99,41.95
home_appliances,33442.47,46729.06,41.71
construction_tools_lights,16888.64,24191.36,41.11
cool_stuff,249966.77,385324.08,39.35
computers_accessories,355864.65,556089.67,39.02
telephony,120957.88,202709.65,37.37
sports_leisure,320730.32,667318.65,32.46
pet_shop,67956.91,146358.5,31.71
electronics,50778.5,109468.24,31.69
toys,153313.44,330633.16,31.68
Unknown,56874.19,122661.09,31.68
housewares,199580.31,432668.35,31.57
books_general_interest,14432.59,32424.29,30.8
luggage_accessories,43018.49,97411.49,30.63
home_confort,17891.47,40680.57,30.55
perfumery,119771.3,279353.57,30.01
art,6999.2,17203.44,28.92
pc_gamer,438.0,1107.95,28.33
furniture_decor,198453.07,531309.42,27.19
drinks,5960.38,16468.32,26.57
furniture_mattress_and_upholstery,1158.38,3209.7,26.52
cine_photo,1749.53,5183.93,25.23
fashion_bags_accessories,38338.21,114485.33,25.09
party_supplies,969.2,3515.98,21.61
market_place,6092.61,22285.86,21.47
bed_bath_table,209821.34,827167.34,20.23
books_imported,749.0,3890.85,16.14
diapers_and_hygiene,250.0,1317.59,15.95
fashion_male_clothing,1719.2,9078.62,15.92
christmas_supplies,1310.55,7490.27,14.89
tablets_printing_image,1092.99,6435.42,14.52
food_drink,1911.81,13267.67,12.59
stationery,28829.26,202113.97,12.48
fashion_shoes,2589.0,20973.77,10.99
arts_and_craftmanship,129.9,1684.11,7.16
fashion_underwear_beach,558.0,8983.55,5.85
books_technical,1056.93,18039.13,5.53
food,1607.66,27785.75,5.47
fashio_female_clothing,119.96,2683.68,4.28
fashion_sport,24.99,2094.52,1.18
security_and_services,0.0,283.29,0.0
home_comfort_2,0.0,760.27,0.0
flowers,0.0,1110.04,0.0
fashion_childrens_clothes,0.0,569.85,0.0
cds_dvds_musicals,0.0,730.0,0.0
