category,units_sold,total_orders,revenue
bed_bath_table,11115,9417,1036988.68
health_beauty,9670,8836,1258681.34
sports_leisure,8641,7720,988048.97
furniture_decor,8334,6449,729762.49
computers_accessories,7827,6689,911954.32
housewares,6964,5884,632248.66
watches_gifts,5991,5624,1205005.68
telephony,4545,4199,323667.53
garden_tools,4347,3518,485256.46
auto,4235,3897,592720.11
toys,4117,3886,483946.6
cool_stuff,3796,3632,635290.85
perfumery,3419,3162,399124.87
baby,3065,2885,411764.89
electronics,2767,2550,160246.74
stationery,2517,2311,230943.23
fashion_bags_accessories,2031,1864,152823.54
pet_shop,1947,1710,214315.41
office_furniture,1691,1273,273960.7
Unknown,1603,1451,179535.28
consoles_games,1137,1062,157465.22
luggage_accessories,1092,1034,140429.98
construction_tools_construction,929,748,144677.59
home_appliances,771,764,80171.53
musical_instruments,680,628,191498.88
small_appliances,679,630,190648.58
home_construction,604,490,83088.12
books_general_interest,553,512,46856.88
food,510,450,29393.41
furniture_living_room,503,422,68916.56
home_confort,434,397,58572.04
drinks,379,297,22428.7
audio,364,350,50688.5
market_place,311,280,28378.47
construction_tools_lights,304,244,41080.0
air_conditioning,297,253,55024.96
kitchen_dining_laundry_garden_furniture,281,248,46328.37
food_drink,278,227,15179.48
industry_commerce_and_business,268,235,39669.61
books_technical,267,260,19096.06
fixed_telephony,264,217,59583.0
fashion_shoes,262,240,23562.77
home_appliances_2,238,234,113317.74
costruction_tools_garden,238,194,25715.89
agro_industry_and_commerce,212,182,72530.47
art,209,202,24202.64
computers,203,181,222963.13
signaling_and_security,199,140,21509.23
construction_tools_safety,194,167,40544.52
christmas_supplies,153,128,8800.82
fashion_male_clothing,132,112,10797.82
fashion_underwear_beach,131,121,9541.55
furniture_bedroom,109,95,20028.78
costruction_tools_tools,103,97,15903.95
tablets_printing_image,83,79,7528.41
small_appliances_home_oven_and_coffee,76,75,47445.71
cine_photo,72,65,6933.46
dvds_blu_ray,64,59,5999.39
books_imported,60,53,4639.85
fashio_female_clothing,48,39,2803.64
party_supplies,43,39,4485.18
diapers_and_hygiene,39,27,1567.59
music,38,38,6034.35
furniture_mattress_and_upholstery,38,38,4368.08
flowers,33,29,1110.04
home_comfort_2,30,24,760.27
fashion_sport,30,27,2119.51
arts_and_craftmanship,24,23,1814.01
portateis_cozinha_e_preparadores_de_alimentos,15,14,3968.53
la_cuisine,14,13,2054.99
cds_dvds_musicals,14,12,730.0
pc_gamer,9,8,1545.95
fashion_childrens_clothes,8,8,569.85
security_and_services,2,2,283.29
