month,revenue,previous_month_revenue,revenue_change,growth_percentage
2016-09,252.24,,,
2016-10,59090.48,252.24,58838.24,23326.29
2016-11,0,59090.48,-59090.48,-100.0
2016-12,19.62,0,19.62,
2017-01,138488.04,19.62,138468.42,705751.38
2017-02,291908.01,138488.04,153419.97,110.78
2017-03,449863.6,291908.01,157955.59,54.11
2017-04,417788.03,449863.6,-32075.57,-7.13
2017-05,592918.82,417788.03,175130.79,41.92
2017-06,511276.38,592918.82,-81642.44,-13.77
2017-07,592382.92,511276.38,81106.54,15.86
2017-08,674396.32,592382.92,82013.4,13.84
2017-09,727762.45,674396.32,53366.13,7.91
2017-10,779677.88,727762.45,51915.43,7.13
2017-11,1194882.8,779677.88,415204.92,53.25
2017-12,878401.48,1194882.8,-316481.32,-26.49
2018-01,1115004.18,878401.48,236602.7,26.94
2018-02,992463.34,1115004.18,-122540.84,-10.99
2018-03,1159652.12,992463.34,167188.78,16.85
2018-04,1160785.48,1159652.12,1133.36,0.1
2018-05,1153982.15,1160785.48,-6803.33,-0.59
2018-06,1023880.5,1153982.15,-130101.65,-11.27
2018-07,1066540.75,1023880.5,42660.25,4.17
2018-08,1022425.32,1066540.75,-44115.43,-4.14
2018-09,4439.54,1022425.32,-1017985.78,-99.57
2018-10,589.67,4439.54,-3849.87,-86.72
