category,total_top_customers,at_risk_top_customers,revenue_at_risk
watches_gifts,965,193,118577.52
computers_accessories,603,170,104325.49
health_beauty,1218,227,102648.33
auto,496,138,97040.66
sports_leisure,608,142,84671.65
furniture_decor,557,163,66390.04
bed_bath_table,553,168,65436.59
baby,286,100,62899.25
cool_stuff,458,94,62460.55
housewares,462,109,48510.51
garden_tools,380,79,45258.22
office_furniture,283,93,43373.55
fixed_telephony,35,16,35171.42
computers,178,29,34756.89
telephony,217,59,32600.88
consoles_games,173,53,28828.25
musical_instruments,177,35,27243.01
small_appliances,174,33,25333.55
agro_industry_and_commerce,95,20,23823.38
toys,330,54,23646.7
perfumery,329,51,16155.31
electronics,99,34,15880.02
home_appliances_2,109,18,15544.13
Unknown,97,20,14221.22
construction_tools_construction,142,27,12584.49
furniture_living_room,78,25,12273.54
home_construction,93,27,10563.84
stationery,76,17,8923.28
pet_shop,140,25,8860.37
fashion_bags_accessories,89,18,7727.1
small_appliances_home_oven_and_coffee,44,8,6597.99
luggage_accessories,129,24,6068.51
construction_tools_safety,47,14,6050.68
audio,50,13,5787.76
kitchen_dining_laundry_garden_furniture,64,13,5610.5
home_appliances,53,8,4965.3
home_confort,53,14,4413.48
air_conditioning,56,6,4391.7
construction_tools_lights,54,13,3522.17
industry_commerce_and_business,28,6,3044.3
market_place,14,4,2628.13
books_general_interest,30,5,2339.5
signaling_and_security,20,4,1584.0
costruction_tools_garden,29,5,1559.7
drinks,10,3,1093.7
furniture_bedroom,22,3,803.98
fashion_shoes,11,3,727.1
costruction_tools_tools,11,0,0.0
