customer_state,total_orders,late_orders,bad_reviews,total_revenue,revenue_at_risk
SP,40501,2685,5787,5093379.5,798305.04
RJ,12350,1846,2937,1766256.97,442181.3
MG,11354,706,1760,1558668.28,256702.77
BA,3256,508,690,495416.93,130111.19
RS,5345,426,885,732420.8,121476.3
PR,4923,272,762,668891.26,108533.39
SC,3546,396,623,508578.9,92889.03
ES,1995,273,341,269230.52,68666.61
CE,1279,219,279,220434.27,57045.7
GO,1957,181,336,285780.24,56456.13
PE,1593,178,284,252903.1,55701.35
DF,2080,178,364,298492.74,51225.42
PA,946,131,205,174952.64,41456.05
MA,717,163,174,117205.26,37956.01
MT,886,70,164,152479.32,27364.62
AL,397,104,94,79059.68,24129.02
MS,701,89,130,116835.04,23402.61
PI,476,81,87,84781.0,19295.28
PB,517,66,93,112676.72,18929.68
SE,335,61,73,56574.19,17899.12
RN,474,54,74,82158.97,16673.0
TO,274,38,37,48402.51,10816.85
RO,243,11,41,45682.76,7637.43
AM,145,7,29,22211.74,3212.91
