seller_id,total_orders,late_orders,bad_reviews,avg_review_score,avg_days_late,revenue_at_risk
7c67e1448b00f6e969d365cea6b010ab,973,131,397,3.35,-10.8,59987.79
4a3ca9315b744ce9f8e9374361493884,1772,216,372,3.83,-8.97,47791.67
4869f7a5dfa277a7dca6462dcf3b52b2,1124,133,153,4.14,-10.45,39558.97
5dceca129747e92ff8ef7a997dc4f8ca,322,20,64,4.02,-10.61,37494.85
1025f0e2d44d7041d6cf58b6550e0bfa,910,131,285,3.87,-10.42,32616.63
da8622b14eb17ae2831f4ac5b9dab84a,1311,114,233,4.08,-10.6,32286.67
7d13fca15225358621be4086e1eb0964,558,68,100,4.02,-10.29,25125.82
955fee9216a65b617aa5c0531780ce60,1261,119,196,4.09,-9.62,24544.87
53243585a1d6dc2643021fd1853d8905,348,16,44,4.13,-10.88,24298.32
6560211a19b47992c3666cc44a7e94c0,1819,125,331,3.95,-11.02,23966.97
1f50f920176fa81dab994f9023523100,1399,184,348,3.99,-10.11,23855.9
fa1c13f2614d7b5c4749cbc52fecda94,578,59,55,4.37,-9.61,23016.0
2eb70248d66e0e3ef83659f71b244378,187,28,93,2.81,-9.36,19060.69
712e6ed8aa4aa1fa65dab41fed5737e4,77,18,29,3.47,-9.15,18384.0
7a67c85e85bb2ce8582c35f2203ad736,1145,68,116,4.27,-11.16,17633.37
cc419e0650a3c5ba77189a1882b7556a,1651,106,228,4.15,-12.33,17250.19
522620dcb18a6b31cd7bdf73665113a9,172,18,33,3.91,-13.38,17164.39
7e93a43ef30c4f03f38b393420bc753a,319,18,26,4.36,-11.49,16600.44
04308b1ee57b6625f47df1d56f00eedf,92,11,18,3.95,-10.88,15875.7
88460e8ebdecbfecb5f9601833981930,246,59,98,3.37,-10.13,15125.95
25c5c91f63607446a97b143d2d535d31,156,16,60,3.72,-11.48,15066.64
620c87c171fb2a6dd6e8bb4dec959fc6,722,75,96,4.27,-13.05,15012.3
46dc3b2cc0980fb8ec44634e21d2718e,503,33,58,4.26,-11.48,14839.3
cca3071e3e9bb7d12640c9fbe2301306,699,44,155,3.89,-14.65,14308.06
3d871de0142ce09b7081e2b9d1733cb1,1064,67,130,4.15,-12.4,13161.9
f7ba60f8c3f99e7ee4042fdef03b70c4,218,38,24,4.23,-8.48,13041.0
8160255418d5aaa7dbdc9f4c64ebda44,380,76,83,3.86,-6.89,12858.1
a1043bafd471dff536d0c462352beb48,702,42,77,4.25,-11.8,12274.5
7ddcbb64b5bc1ef36ca8c151f6ec77df,325,28,55,3.97,-9.43,11564.31
17e34d8224d27a541263c4c64b11a56b,247,21,32,4.2,-10.15,11155.7
4e922959ae960d389249c378d1c939f5,412,48,89,3.9,-12.35,11148.94
634964b17796e64304cadf1ad3050fb7,265,31,61,3.87,-9.62,10312.1
06a2c3af7b3aee5d69171b0e14f0ee87,389,95,62,4.03,-10.53,9963.84
77530e9772f57a62c906e1c21538ab82,312,44,64,4.09,-10.21,9539.6
8444e55c1f13cd5c179851e5ca5ebd00,92,11,39,3.16,-20.58,9488.8
b33e7c55446eabf8fe1a42d037ac7d6d,149,20,20,4.19,-10.6,9464.25
f5a590cf36251cf1162ea35bef76fe84,113,12,13,4.28,-10.35,9432.89
1ca7077d890b907f89be8c954a02686a,108,25,80,2.27,-6.16,9347.69
8581055ce74af1daba164fdbd55a40de,379,43,47,4.26,-8.47,9265.25
7178f9f4dd81dcef02f62acdf8151e01,202,10,32,4.05,-18.02,9097.7
fe2032dab1a61af8794248c8196565c9,293,26,28,4.4,-10.39,8966.8
2bf6a2c1e71bbd29a4ad64e6d3c3629f,30,3,4,4.19,-14.05,8949.8
855668e0971d4dfd7bef1b6a4133b41b,300,43,66,3.84,-8.33,8867.74
391fc6631aebcf3004804e51b40bcf1e,521,60,100,3.97,-10.96,8860.33
c826c40d7b19f62a09e2d7c5e7295ee2,346,33,56,4.09,-9.17,8760.4
218d46b86c1881d022bce9c68a7d4b15,382,38,51,4.17,-11.02,8653.75
e9bc59e7b60fc3063eb2290deda4cced,209,33,42,4.03,-13.29,8231.44
de722cd6dad950a92b7d4f82673f8833,337,15,48,4.17,-15.42,8065.0
1835b56ce799e6a4dc4eddc053f04066,417,58,138,3.62,-10.09,8052.17
ea8482cd71df3c1969d7b9473ff13abc,1132,123,186,3.98,-9.39,8045.82
70a12e78e608ac31179aea7f8422044b,312,35,65,3.79,-9.78,7974.83
17a053fcb14bd219540cbde0df490be0,124,12,16,4.23,-9.43,7895.3
e9779976487b77c6d4ac45f75ec7afe9,645,55,88,4.21,-9.13,7825.81
ccc4bbb5f32a6ab2b7066a4130f114e3,184,14,20,4.32,-16.18,7803.8
7142540dd4c91e2237acb7e911c4eba2,316,26,45,4.06,-13.16,7638.8
ceaec5548eefc6e23e6607c5435102e7,198,12,22,4.2,-14.53,7614.89
7681ef142fd2c19048da7430856b5588,58,9,11,4.17,-8.78,7490.0
966cb4760537b1404caedd472cc610a5,67,2,8,4.12,-14.75,7404.98
b2ba3715d723d245138f291a6fe42594,324,30,40,4.2,-9.36,7404.39
d1c281d3ae149232351cd8c8cc885f0d,214,21,54,3.83,-10.88,7249.33
59b22a78efb79a4797979612b885db36,125,17,27,3.97,-9.59,7215.8
c3867b4666c7d76867627c2f7fb22e21,228,27,42,4.02,-9.3,7176.5
897060da8b9a21f655304d50fd935913,304,50,121,3.47,-9.09,7168.13
d91fb3b7d041e83b64a00a3edfb37e4f,524,34,74,4.14,-12.02,7066.28
8e6d7754bc7e0f22c96d255ebda59eba,84,17,58,3.03,-5.62,7032.88
d2374cbcbb3ca4ab1086534108cc3ab7,514,33,155,3.64,-14.81,6911.66
ea566164622c6b439516ab18062c42cd,50,12,13,3.75,-7.09,6800.44
165fc07beebdcb6190fba8a06db2a449,50,8,17,3.69,-10.35,6653.7
9c0e69c7bf2619675bbadf47b43f655a,151,19,30,4.06,-7.74,6556.13
7ad32824caee82087b3e2e5f33b1bf32,147,23,36,3.79,-9.85,6461.8
0b90b6df587eb83608a64ea8b390cf07,163,7,36,4.03,-17.54,6340.01
2528513dd95219a6013d4d05176e391a,160,9,28,3.96,-11.59,6277.6
eeb6de78f79159600292e314a77cbd18,82,3,5,4.42,-16.23,6243.0
710e3548e02bc1d2831dfc4f1b5b14d4,131,6,41,3.46,-21.31,6163.29
edb1ef5e36e0c8cd84eb3c9b003e486d,165,13,13,4.45,-12.84,6157.7
dc4a0fc896dc34b0d5bfec8438291c80,225,17,53,3.79,-10.76,6067.44
a416b6a846a11724393025641d4edd5e,157,22,25,4.22,-9.91,6042.03
1900267e848ceeba8fa32d80c1a5f5a8,406,52,99,3.88,-9.39,5975.57
76d5af76d0271110f9af36c92573f765,128,13,23,4.1,-11.8,5909.93
c70c1b0d8ca86052f45a432a38b73958,260,27,36,4.32,-8.4,5846.98
4d6d651bd7684af3fffabd5f08d12e5a,363,18,48,4.21,-12.38,5777.7
001cca7ae9ae17fb1caed9dfb1094831,195,13,40,3.97,-12.57,5557.5
f8db351d8c4c4c22c6835c19a46f01b0,659,42,70,4.25,-11.04,5487.0
cd68562d3f44870c08922d380acae552,122,26,25,3.91,-6.85,5447.0
17f51e7198701186712e53a39c564617,56,5,5,4.34,-11.59,5400.0
16090f2ca825584b5a147ab24aa30c86,398,44,55,4.07,-8.94,5383.38
37be5a7c751166fbc5f8ccba4119e043,269,7,26,4.31,-12.86,5208.88
729f06993dac8e860d4f02d7088ca48a,94,11,10,4.33,-10.47,5158.9
6039e27294dc75811c0d8a39069f52c0,63,19,13,3.88,-6.41,5157.4
900ba814c251a692506d7834c1218441,86,12,7,4.23,-7.88,5101.45
53e4c6e0f4312d4d2107a8c9cddf45cd,463,27,74,4.09,-12.74,5072.15
e59aa562b9f8076dd550fcddf0e73491,69,7,7,4.33,-11.65,5023.8
b32be1695eb7ec5f10f72d9610a12527,44,2,5,4.16,-13.07,4882.0
f457c46070d02cadd8a68551231220dd,195,15,52,3.82,-11.53,4822.1
e5a38146df062edaf55c38afa99e42dc,120,11,21,3.98,-9.94,4804.31
7e1fb0a3ebfb01ffb3a7dae98bf3238d,155,23,19,4.16,-10.12,4703.89
0b35c634521043bf4b47e21547b99ab5,50,9,19,3.53,-14.15,4620.29
b839e41795b7f3ad94cc2014a52f6796,33,1,6,4.03,-12.59,4496.0
5c243662ce92d84573bfaff24c3e3700,98,3,11,4.13,-13.26,4488.71
54965bbe3e4f07ae045b90b0b8541f52,73,26,32,3.07,-1.69,4415.1
48162d548f5b1b11b9d29d1e01f75a61,66,2,19,3.82,-12.19,4403.3
c3cfdc648177fdbbbb35635a37472c53,278,7,26,4.45,-15.62,4366.9
a49928bcdf77c55c6d6e05e09a9b4ca5,96,26,45,2.97,-3.81,4343.0
0241d4d5d36f10f80c644447315af0bd,238,14,31,4.28,-12.32,4340.5
aba1721a889e04decc910aa13b768ef4,83,10,9,4.46,-10.94,4323.4
5058e8c1e82653974541e83690655b4a,62,10,28,3.08,-15.68,4314.43
c60b801f2d52c7f7f91de00870882a75,39,8,11,3.44,-9.96,4214.0
4c2b230173bb36f9b240f2b8ac11786e,258,31,84,3.76,-7.94,4193.49
44073f8b7e41514de3b7815dd0237f4f,142,7,31,3.75,-15.13,4174.48
1c68394e931a64f90ea236c5ea590300,142,6,27,3.94,-14.87,4133.06
8f2ce03f928b567e3d56181ae20ae952,151,25,22,4.12,-8.99,4110.9
00ee68308b45bc5e2660cd833c3f81cc,135,14,17,4.33,-10.16,4095.0
b94cc9f10ddc85e4ba73a6f7974e7101,39,3,5,4.3,-11.94,3999.4
96493fab2fbb13a14d0c0e8772eef5c3,63,4,10,4.03,-9.53,3992.0
9f505651f4a6abe901a56cdc21508025,393,20,43,4.31,-10.33,3966.62
06e5eefc71ec47ae763c5c6f8db7064f,90,2,13,3.96,-16.16,3960.57
0dd184061fb0eaa7ca37932c68ab91c5,161,19,29,3.95,-10.52,3913.0
c33847515fa6305ce6feb1e818569f13,114,6,32,3.72,-14.73,3858.26
004c9cd9d87a3c30c522c48c4fc07416,156,15,23,4.15,-10.96,3853.17
f62d7bb4a613ec758a03342d46b580b2,32,4,2,4.38,-9.02,3795.0
82e0a475a88cc9595229d8029273f045,41,5,31,3.35,-7.72,3786.66
6973a06f484aacf400ece213dbf3d946,89,19,27,3.67,-6.6,3778.11
431af27f296bc6519d890aa5a05fdb11,116,19,30,3.81,-6.82,3704.5
850f4f8af5ea87287ac68de36e29107f,186,12,18,4.29,-14.09,3676.7
4a3ccda38b2129705f3fb522db62ca31,64,7,18,3.81,-10.48,3676.04
00fc707aaaad2d31347cf883cd2dfe10,103,6,36,3.74,-14.87,3660.95
1554a68530182680ad5c8b042c3ab563,246,19,31,4.27,-13.23,3626.93
834f3294fba9f932f56edc879193f925,66,4,3,4.55,-8.8,3619.3
7299e27ed73d2ad986de7f7c77d919fa,335,17,25,4.43,-11.95,3586.72
75d34ebb1bd0bd7dde40dd507b8169c3,57,10,13,3.99,-16.22,3578.81
213b25e6f54661939f11710a6fddb871,152,21,37,3.83,-10.29,3563.65
229c3efbfb0ea2058de4ccdfbc3d784a,118,3,37,3.64,-11.67,3557.0
972d0f9cf61b499a4812cf0bfa3ad3c4,81,10,37,2.96,-9.04,3530.86
abe42c5d03695b4257b5c6cbf4e6784e,49,8,8,3.96,-8.63,3520.0
a888faf2d1baececa6baf9c3d603ee1f,53,8,8,4.11,-10.07,3500.8
7aa4334be125fcdd2ba64b3180029f14,214,32,37,4.08,-8.85,3491.67
d05ae8f7a5bd1d2a690a44cd079e4e27,77,7,18,3.82,-10.52,3485.0
a673821011d0cec28146ea42f5ab767f,125,16,27,3.91,-8.71,3480.56
66e0557ecc2b4dbea057e93f215f68d8,30,8,4,4.03,-8.13,3471.0
8b321bb669392f5163d04c59e235e066,930,103,164,4.02,-9.3,3445.18
f45122a9ab94eb4f3f8953578bc0c560,184,14,38,3.92,-9.67,3390.82
dbc22125167c298ef99da25668e1011f,394,10,36,4.27,-13.17,3377.42
cfb1a033743668a192316f3c6d1d2671,143,19,33,3.99,-10.88,3315.25
de23c3b98a88888289c6f5cc1209054a,161,16,18,4.31,-9.89,3241.36
a7f13822ceb966b076af67121f87b063,73,5,21,3.49,-16.17,3206.17
3b15288545f8928d3e65a8f949a28291,101,10,21,3.91,-10.79,3200.74
ba90964cff9b9e0e6f32b23b82465f7b,38,2,2,4.42,-11.29,3198.0
99eaacc9e6046db1c82b163c5f84869f,63,7,11,4.01,-8.14,3125.79
c31eff8334d6b3047ed34bebd4d62c36,120,17,21,3.88,-9.51,3116.35
7b0df942f46435babab05d49b744b2c4,32,3,2,4.39,-10.23,3112.55
a3e9a2c700480d9bb01fba070ba80a0e,129,15,23,4.02,-9.24,3097.0
2e90cb1677d35cfe24eef47d441b7c87,127,17,23,4.04,-10.05,3046.8
6d66611d7c44cc30ce351abc49a68421,164,12,28,3.93,-10.06,3028.9
23d7c96d4a1160db1c726b248601b25a,50,7,8,3.92,-10.04,2942.8
5343d0649eca2a983820bfe93fc4d17e,70,10,31,3.64,-11.89,2928.11
fffd5413c0700ac820c7069d66d98c89,57,8,12,3.91,-10.63,2888.7
87142160b41353c4e5fca2360caf6f92,305,19,23,4.37,-14.31,2884.0
7202e2ba20579a9bd1acb29e61fe71f6,51,3,9,3.94,-11.44,2863.9
dd7ddc04e1b6c2c614352b383efe2d36,121,21,28,3.78,-7.39,2854.58
440dd6ab244315c632130ecfb63827b1,91,12,14,3.89,-10.68,2792.7
adbc26658d6c7b4b6219f9d934598091,88,14,16,4.05,-7.63,2742.7
056b4ada5bbc2c50cc7842547dda6b51,64,7,9,4.16,-11.72,2735.91
ce7d1888639e6fb06b2749cbfdac1ff7,78,7,16,4.11,-12.11,2730.0
a3a38f4affed601eb87a97788c949667,251,12,21,4.4,-14.01,2721.22
70c27847eca8195c983ed7e798c56743,77,9,18,4.2,-11.18,2716.82
0c8380b62e38e8a1e6adbeba7eb9688c,180,11,31,4.07,-11.91,2713.59
1a3df491d1c4f1589fc2b934ada68bf2,160,9,16,4.24,-12.31,2698.3
6fd52c528dcb38be2eea044946b811f8,67,9,28,3.5,-10.49,2696.45
dc317f341ab0e22f39acbd9dbf9b4a1f,55,3,10,4.12,-14.45,2694.2
86ccac0b835037332a596a33b6949ee1,178,6,36,4.03,-14.2,2673.66
ad781527c93d00d89a11eecd9dcad7c1,38,12,13,3.34,-8.31,2649.83
7040e82f899a04d1b434b795a43b4617,208,20,61,3.59,-9.71,2647.2
bfd27a966d91cfaafdb25d076585f0da,114,6,12,4.32,-14.83,2639.0
79ebd9a61bac3eaf882805ed4ecfa12a,133,8,20,4.02,-11.68,2632.5
2089a6d640999f9b9141ac719b2af596,41,6,10,3.93,-10.75,2631.99
41b39e28db005d9731d9d485a83b4c38,187,13,29,4.23,-17.82,2631.4
05f51e13da97139648b8125c31e5f51b,57,9,8,4.25,-9.17,2625.0
cee48807215b30a12ca2ca10ffb5f250,39,6,10,3.7,-12.43,2610.94
1b4c3a6f53068f0b6944d2d005c9fc89,111,7,15,4.15,-12.16,2559.66
0adac9fbd9a2b63cccaac4f8756c1ca8,106,7,14,4.01,-10.61,2559.21
1e8b33f18b4f7598d87f5cbee2282cc2,122,6,19,4.31,-10.26,2545.97
e8b3a3a38279a82f0e5d006d5e5b7d2c,80,4,16,3.94,-18.08,2541.2
ca3bd7cd9f149df75950150d010fe4a2,68,3,27,3.79,-16.2,2529.69
70eea00b476a314817cefde4aad4f89a,106,8,9,4.38,-11.57,2521.4
59fb871bf6f4522a87ba567b42dafecf,123,8,10,4.26,-14.02,2508.8
903037660cf848a717166eb7a06d616e,44,9,12,3.81,-16.29,2487.85
1d8dbc4f32378d715c717c1c1fc57bae,91,9,17,3.93,-11.29,2477.0
ef0ace09169ac090589d85746e3e036f,128,11,13,4.36,-10.99,2458.1
2138ccb85b11a4ec1e37afbd1c8eda1f,388,23,73,3.92,-12.06,2453.94
c003204e1ab016dfa150abc119207b24,195,13,11,4.44,-10.89,2450.1
527801b552d0077ffd170872eb49683b,90,9,7,4.48,-10.68,2395.8
0691148aee60ca47977c187804f935ae,47,2,10,4.0,-12.13,2376.55
1da366cade6d8276e7d8beea7af5d4bf,42,6,8,3.98,-7.86,2371.3
c9c7905cffc4ef9ff9f113554423e671,127,16,15,4.16,-9.32,2338.68
f27e33c6d29b5138fa9967bcd445b6d5,93,10,16,4.09,-9.98,2332.8
54a1852d1b8f10312c55e906355666ee,198,20,16,4.37,-10.18,2318.63
db2956745b3a8e9f3785c99f34b5d25e,45,5,10,3.8,-11.17,2307.0
835f0f7810c76831d6c7d24c7a646d4d,42,15,16,3.31,-4.97,2277.8
701938c450705b8ae65fc923b70f35c7,74,6,20,3.75,-11.05,2273.41
18a349e75d307f4b4cc646a691ed4216,109,7,37,3.52,-14.1,2271.7
0be8ff43f22e456b4e0371b2245e4d01,156,11,32,3.97,-11.11,2269.5
0bf0150d5b9d60d9cd2906003332f085,39,12,14,3.71,-6.53,2261.6
240b9776d844d37535668549a396af32,35,2,3,4.34,-10.56,2257.97
4b9750c8ad28220fe6702d4ecb7c898f,217,17,16,4.35,-8.68,2234.15
d650b663c3b5f6fb392b6326366efa9a,57,4,4,4.37,-10.89,2223.0
9e6229250fedbe05838fef417b74e7fb,73,3,12,3.9,-14.84,2148.7
ed4acab38528488b65a9a9c603ff024a,31,1,8,3.79,-11.91,2136.92
813348c996469b40f2e028d5429d3495,172,9,32,4.01,-10.21,2130.0
5656537e588803a555b8eb41f07a944b,171,14,38,3.82,-11.25,2113.16
3078096983cf766a32a06257648502d1,56,3,7,4.3,-11.65,2109.72
5f2684dab12e59f83bef73ae57724e45,67,4,18,3.75,-10.35,2092.47
c847e075301870dd144a116762eaff9a,41,4,6,4.2,-10.01,2092.2
ce248b21cb2adc36282ede306b7660e5,64,7,8,4.26,-10.09,2088.06
609e1a9a6c2539919b8205cf7c4e6ff0,87,3,32,3.6,-16.48,2083.77
ef506c96320abeedfb894c34db06f478,316,29,56,3.93,-10.52,2076.66
76d64c4aca3a7baf218bf93ef7fa768d,64,2,12,4.13,-14.81,2070.1
